path	sha256	width	height	viewport	case_id	state	flows	locale	registry_status	provenance
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-AFTER19-EXPIRED-REASON-EN-FL-014-en-1440x1000-desktop-chromium-darwin.png	cda6c3f824335880262e57e10e13bb23a80a4dc50d28939891c53963365aac73	1440	1000	1440x1000	B-PX-AFTER19-EXPIRED-REASON-EN	AFTER19-EXPIRED-REASON	FL-014	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-AFTER19-PROMPT-EN-FL-013-en-1440x1000-desktop-chromium-darwin.png	0c012b95d00438ca32da235258484c7583b0656be990b0be94786147bbca4bb0	1440	1000	1440x1000	B-PX-AFTER19-PROMPT-EN	AFTER19-PROMPT	FL-013	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-AFTER19-VENUE-LOCKED-EN-FL-002-en-1440x1000-desktop-chromium-darwin.png	b956dd93f0541e661e25658dfb134d536b20b74d19098cc2f9fdd57219c0faa7	1440	1000	1440x1000	B-PX-AFTER19-VENUE-LOCKED-EN	AFTER19-VENUE-LOCKED	FL-002	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-AFTER19-VENUE-RETURN-EN-FL-002-FL-013-FL-014-en-1440x1000-desktop-chromium-darwin.png	dd4320e1041410a22b0c7aebf391b909b742a64761e4d72990451a5aee9e9236	1440	1000	1440x1000	B-PX-AFTER19-VENUE-RETURN-EN	AFTER19-VENUE-RETURN	FL-002,FL-013,FL-014	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHAT-EN-FL-003-en-1440x1000-desktop-chromium-darwin.png	56bfefe6505eb8b75decea1dc4be954893624b7ddf46d9510757c4fa4ac6a286	1440	1000	1440x1000	B-PX-CHAT-EN	CHAT	FL-003	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHAT-IMAGE-FAIL-EN-FL-003-en-1440x1000-desktop-chromium-darwin.png	374a92e4fa6205fc272e7958c23e3be430cba499f0afa70721a4b9b9dad04e30	1440	1000	1440x1000	B-PX-CHAT-IMAGE-FAIL-EN	CHAT-IMAGE-FAIL	FL-003	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHECKOUT-CANCEL-KO-FL-004-ko-1440x1000-desktop-chromium-darwin.png	f46dfdc56971514e188d23847d6b5902dd432637079cdd5107e02ebee23f0387	1440	1000	1440x1000	B-PX-CHECKOUT-CANCEL-KO	CHECKOUT-CANCEL	FL-004	ko	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHECKOUT-FAIL-EN-FL-004-en-1440x1000-desktop-chromium-darwin.png	1af6e153c7b4451a013f47fdb19b5d55c8e87c7bea4be57275ca78445bb80331	1440	1000	1440x1000	B-PX-CHECKOUT-FAIL-EN	CHECKOUT-FAIL	FL-004	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHECKOUT-IDLE-EN-FL-004-FL-017-en-1440x1000-desktop-chromium-darwin.png	3dc9a8a6784f81dc54450be84a814d33cbc7243c0ef44ce2b61d2acd3f96cea6	1440	1000	1440x1000	B-PX-CHECKOUT-IDLE-EN	CHECKOUT-IDLE	FL-004,FL-017	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
k-tour-id-app/tests/visual/ondo-b-flow-pixels-desktop.spec.ts-snapshots/B-PX-CHECKOUT-RECEIPT-EN-FL-004-en-1440x1000-desktop-chromium-darwin.png	933782386ba1faac3c59d0a514cf770409250774dddfcdee246ca90ca31495df	1440	1000	1440x1000	B-PX-CHECKOUT-RECEIPT-EN	CHECKOUT-RECEIPT	FL-004	en	FROZEN	STRICT-BLIND-FROZEN: exact Product/Harness baseline boundary
