relative_path	sha256	bytes	ihdr_width	ihdr_height	bit_depth	color_type	compression	filter	interlace	case_id	locale	viewport	project	census
production-desktop-chromium/PR-PX-CITY-LIST-EN-en-1440x1000.png	2997800068990203072dd2bcae6930a3a5b3ddef6656821ab3d91ada1af7db86	126989	1440	1000	8	2	0	0	0	PR-PX-CITY-LIST-EN	en	1440x1000	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-LIST-EN-en-360x800.png	fc6ba9537a93fa2fedc2ac2515edc2637d2f0cd55ef6b3ca9e5858a6f79d14ea	72966	360	800	8	2	0	0	0	PR-PX-CITY-LIST-EN	en	360x800	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-LIST-EN-en-430x932.png	c65e6955a7491cc0e6b92c03b0eee48bd08f3ffc4cbf3babd728a9ae14258a00	93497	430	932	8	2	0	0	0	PR-PX-CITY-LIST-EN	en	430x932	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-LIST-EN-en-768x1024.png	7db00532a05ec0679532444a929fbef1e1b90c96b2b4cf54e59a1f2759eb0f41	133084	768	1024	8	2	0	0	0	PR-PX-CITY-LIST-EN	en	768x1024	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-LIST-EN-en-801x1000.png	046aa0a07cd732fd7406b0cf8f5d96fa157f4b51bfdaf2c5e905811e5103b582	119021	801	1000	8	2	0	0	0	PR-PX-CITY-LIST-EN	en	801x1000	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-MAP-EN-en-1440x1000.png	b7f4653e9d86c1906ef3209aa09b673364da3809053a70694ccd7a8505c6755e	336367	1440	1000	8	2	0	0	0	PR-PX-CITY-MAP-EN	en	1440x1000	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-MAP-EN-en-360x800.png	30b40c1adb23e05b54ad9b8744754dc282ab3bc4915e1a37619bd7c92abe05bd	112406	360	800	8	2	0	0	0	PR-PX-CITY-MAP-EN	en	360x800	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-MAP-EN-en-430x932.png	49149324933e84bca4145481e33c9fa658b531d7644301dabd4f47cb6a01e071	145311	430	932	8	2	0	0	0	PR-PX-CITY-MAP-EN	en	430x932	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-MAP-EN-en-768x1024.png	412010afdd64f6ddc05c6b687a132821b6b1db06c9140d6e003be1e6a6ddc84a	260914	768	1024	8	2	0	0	0	PR-PX-CITY-MAP-EN	en	768x1024	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-MAP-EN-en-801x1000.png	b96818b99603c83b7977967505dd763d475fd80944cb0d55e25e6e7444b058f3	237145	801	1000	8	2	0	0	0	PR-PX-CITY-MAP-EN	en	801x1000	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-MAP-KO-ko-1440x1000.png	9d3e01afba55c3f231d1c911ac2e7ffe27242ac1e4cc48e5ae7dc9f0ed1a3c34	326855	1440	1000	8	2	0	0	0	PR-PX-CITY-MAP-KO	ko	1440x1000	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-MAP-KO-ko-360x800.png	2f65bdda45d82960fa36031efaef5232e6375500d1960c80087c8e40c2654103	108468	360	800	8	2	0	0	0	PR-PX-CITY-MAP-KO	ko	360x800	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-MAP-KO-ko-430x932.png	1566430164a0cd1f62b4c383814405acbf36630195888f482178620a22bf3747	141123	430	932	8	2	0	0	0	PR-PX-CITY-MAP-KO	ko	430x932	production-desktop-chromium	core
production-desktop-chromium/PR-PX-CITY-MAP-KO-ko-768x1024.png	869ccc8d484deda2778e16c9a3efb4cd1f601a316eaa995a647cddd42dd1c861	254054	768	1024	8	2	0	0	0	PR-PX-CITY-MAP-KO	ko	768x1024	production-desktop-chromium	core
